"Flugpassagiere im Linien- und Charterverkehr"
"FILTER:Flugpassagiere im Linien- und Charterverkehr nach Flughafen, Art des Verkehrs, Art der Passagiere, Monat und Jahr"
"Schweiz";"Charterverkehr";"Lokal- und Transferpassagiere";"März";...;...;...;...;...;...;...;...;...;...;...;238265;253620;267706;248729;220128;222558;174548;196595;183341;120951;90341;78339;91797;81697;67859;55897;40311;37898;53556;37545
"Schweiz";"Charterverkehr";"Lokal- und Transferpassagiere";"April";...;...;...;...;...;...;...;...;...;...;...;300737;290436;231596;217654;254101;215988;221664;175341;110685;111137;66478;78294;77274;51673;54663;60834;32262;41483;52395;45205
"Schweiz";"Charterverkehr";"Lokal- und Transferpassagiere";"Mai";...;...;...;...;...;...;...;...;...;...;...;278447;267397;249061;208073;232665;215352;174222;152605;122093;107090;80052;65365;72477;56517;51954;64356;49592;24133;37251;24639
"Schweiz";"Charterverkehr";"Lokal- und Transferpassagiere";"Juni";...;...;...;...;...;...;...;...;...;...;...;325490;320998;288846;252693;257522;224243;207376;201207;184511;110766;78253;82988;93457;70366;69879;69525;29880;24117;38138;34631
"Schweiz";"Charterverkehr";"Lokal- und Transferpassagiere";"Juli";...;...;...;...;...;...;...;...;...;...;...;475167;428147;385352;354944;390094;368131;320060;276400;417289;174202;119742;141066;163039;114072;110709;103731;56646;56089;77794;57929
"Schweiz";"Charterverkehr";"Lokal- und Transferpassagiere";"August";...;...;...;...;...;...;...;...;...;...;...;443183;416975;410326;383701;359535;320572;293821;270449;201852;186140;105323;117688;135195;102861;119171;97762;51603;52379;81445;61714
"Schweiz";"Charterverkehr";"Lokal- und Transferpassagiere";"September";...;...;...;...;...;...;...;...;...;...;...;366021;377424;329575;293229;313342;265519;266361;247670;165373;119554;89845;104640;116215;80859;95958;78456;36888;42392;62185;49378
"Schweiz";"Charterverkehr";"Lokal- und Transferpassagiere";"Oktober";...;...;...;...;...;...;...;...;...;...;...;366877;330319;333815;336931;362978;318276;261167;230983;175874;136240;136736;147164;124118;86319;115560;98375;55079;57813;77202;...
"Schweiz";"Charterverkehr";"Lokal- und Transferpassagiere";"November";...;...;...;...;...;...;...;...;...;...;...;137360;111776;132019;146340;136211;99510;94023;68752;78254;26629;26018;31694;26405;15370;18973;13466;11791;18573;22649;...
"Schweiz";"Charterverkehr";"Lokal- und Transferpassagiere";"Dezember";...;...;...;...;...;...;...;...;...;...;...;168293;145394;151667;151098;134242;115505;127168;97510;85895;46986;47945;54426;42864;37925;34431;21098;24462;32576;30008;...
"Schweiz";"Charterverkehr";"Transitpassagiere";"Jahrestotal";...;...;...;...;...;...;...;...;...;...;...;91950;77797;79834;75944;75013;74959;50251;45939;19603;25107;41055;30536;40934;40523;23375;23608;14426;11155;17197;...
"Schweiz";"Charterverkehr";"Transitpassagiere";"Januar";...;...;...;...;...;...;...;...;...;...;...;11508;9626;4116;7627;6186;6081;3385;4363;1449;1923;4013;2365;2621;1953;1470;1177;675;352;92;636
"Schweiz";"Charterverkehr";"Transitpassagiere";"Februar";...;...;...;...;...;...;...;...;...;...;...;12653;11764;5302;8399;6719;8257;2230;4405;1113;2121;3918;2455;932;1885;828;851;981;868;1184;281
"Schweiz";"Charterverkehr";"Transitpassagiere";"März";...;...;...;...;...;...;...;...;...;...;...;8924;12216;5621;9097;8502;10895;3035;3886;2218;2401;4255;2673;2363;3648;2376;275;540;0;2038;486
"Schweiz";"Charterverkehr";"Transitpassagiere";"April";...;...;...;...;...;...;...;...;...;...;...;7374;8359;3948;5881;5030;8428;5747;6962;2253;1084;4112;2551;5186;4170;2847;2895;795;1092;1934;2812
"Schweiz";"Charterverkehr";"Transitpassagiere";"Mai";...;...;...;...;...;...;...;...;...;...;...;6683;3558;5861;4063;6461;7232;3074;4774;2617;1824;3116;2827;3169;4767;2973;3274;2117;1189;998;559
"Schweiz";"Charterverkehr";"Transitpassagiere";"Juni";...;...;...;...;...;...;...;...;...;...;...;5035;4626;7811;4028;5849;5541;5615;3500;2021;1741;3045;2784;3778;4936;2532;3529;1201;1623;2337;668
"Schweiz";"Charterverkehr";"Transitpassagiere";"Juli";...;...;...;...;...;...;...;...;...;...;...;7024;4100;8388;5503;4138;2867;3697;2951;1085;3631;3349;2765;3939;4519;1666;2949;496;645;1477;518
"Schweiz";"Charterverkehr";"Transitpassagiere";"August";...;...;...;...;...;...;...;...;...;...;...;7088;5898;9605;5594;5076;3317;4547;3589;1336;1248;1872;2439;5256;4697;1367;1928;1294;678;623;338
